Product Name,Platform,Memory Quantity (in GB),RAMWatt Idle,RAMWatt 10% CPU load,RAMWatt Max,Watt/GB idle,Watt/GB low workload,Watt/GB medium workload,Watt/GB max workload,DIMM Specifications,#DIMM,Arbitrary Watt per GB,Watt/GB idle,Watt/GB low workload,Watt/GB medium workload,Watt/GB max workload
c5n.metal,Xeon Platinum 8124M,192,37,67,169,0.19,0.35,0.62,0.88,,,,0.2,0.3,0.4,0.6
c5.metal (underclocked),Xeon Platinum 8275CL*,192,74,75,223,0.39,0.39,0.78,1.16,,,,,,,
c5.metal,Xeon Platinum 8275CL,192,37,66,210,0.19,0.35,0.72,1.10,Hynix HMA82GR7JJR8N-WM,12,,,,,
c5.metal*,Xeon Platinum 8275CL*,192,47,74,214,0.24,0.39,0.75,1.11,,,,,,,
m5zn.metal,Xeon Platinum 8252C,192,48,69,184,0.25,0.36,0.66,0.96,,,,,,,
Lenovo ST550,Xeon Silver 4110,192,41,58,131,0.21,0.30,0.49,0.68,,,,,,,
s3.xlarge.x86,Xeon Silver 4214,192,4,42,142,0.02,0.22,0.48,0.74,,,,,,,
,,Average 192 GB machines,,,,0.21,0.34,0.64,0.95,,,,,,,
c6i.metal,Xeon Platinum 8375C,256,,,,,,,,micron 18ASF2G72PDZ-3G2E1,16,,,,,
2xIntelGold6230R,Xeon Gold 6230R,256,7,38,151,0.03,0.15,0.37,0.59,,,,,,,
,,Average 256 GB machines,,,,0.03,0.15,0.37,0.59,,,,,,,
m5.metal (underclocked),Xeon Platinum 8259CL*,384,93,94,301,0.24,0.24,0.51,0.78,,,,,,,
m5.metal,Xeon Platinum 8175M,384,58,92,384,0.15,0.24,0.62,1.00,Samsung M393A4K40BB2-CTD,12,,,,,
z1d.metal,Xeon Platinum 8151,384,50,92,256,0.13,0.24,0.45,0.67,,,,,,,
n2.xlarge.x86,Xeon Gold 5218,384,94,95,230,0.25,0.25,0.42,0.60,,,,,,,
HC-BM1-L,Xeon Gold 5120,384,49,92,216,0.13,0.24,0.40,0.56,,,,,,,
,,Average 384 GB machines,,,,0.18,0.24,0.48,0.72,,,,,,,
r5.metal (underclocked),Xeon Platinum 8175M*,768,187,187,470,0.24,0.24,0.43,0.61,,,,,,,
r5.metal,Xeon Platinum 8259CL,768,119,198,510,0.16,0.26,0.46,0.66,Samsung M393A4K40BB2-CTD,24,,,,,
,,768 GB machines,,,,0.20,0.25,0.44,0.64,,,,,,,
